2025-08-01 16:17:46,392 - __main__ - INFO - Reading training data...
2025-08-01 16:20:02,052 - __main__ - INFO - Processed 750 points for пшеница
2025-08-01 16:21:08,388 - __main__ - INFO - Processed 350 points for ячмень
2025-08-01 16:21:17,804 - __main__ - INFO - Processed 50 points for овес
2025-08-01 16:21:17,807 - __main__ - INFO - Training data shape: (1150, 21)
2025-08-01 16:21:17,808 - __main__ - INFO - Training model...
2025-08-01 16:29:40,833 - __main__ - INFO - Reading training data...
2025-08-01 16:30:38,407 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8286, 9705): [np.float32(27.815481), np.float32(31.462496), np.float32(-3.647015), np.float32(6.9352436), np.float32(-98.561714), np.float32(0.09763167), np.float32(2024.6179), np.float32(33.57024), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(129.51732), np.float32(inf), np.float32(2276.1755), np.float32(31.093494), np.float32(31.592188), np.float32(-0.4986929), np.float32(16.06159), np.float32(63.73097), np.float32(0.33492312), np.float32(2729.8936)]
2025-08-01 16:30:38,536 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8436, 9716): [np.float32(24.143309), np.float32(32.063435), np.float32(-7.9201274), np.float32(3.1882195), np.float32(56.820747), np.float32(0.015264895), np.float32(1945.5784), np.float32(30.81614), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(-25.656763), np.float32(inf), np.float32(1216.8496), np.float32(32.652294), np.float32(28.93236), np.float32(3.7199361), np.float32(12.066587), np.float32(82.42092), np.float32(0.46587408), np.float32(2626.2668)]
2025-08-01 16:30:38,657 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8433, 9705): [np.float32(28.411419), np.float32(29.472038), np.float32(-1.0606195), np.float32(21.605621), np.float32(19.978092), np.float32(0.37048915), np.float32(1590.9896), np.float32(33.006897), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(117.93801), np.float32(inf), np.float32(1998.8364), np.float32(31.569946), np.float32(32.03179), np.float32(-0.46184617), np.float32(7.011163), np.float32(73.589005), np.float32(0.14973567), np.float32(3079.0762)]
2025-08-01 16:30:38,811 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8438, 9684): [np.float32(29.723381), np.float32(30.515875), np.float32(-0.7924946), np.float32(29.26462), np.float32(168.83542), np.float32(0.44417268), np.float32(2076.4075), np.float32(35.27781), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(-62.295322), np.float32(inf), np.float32(3371.5315), np.float32(31.418749), np.float32(31.414762), np.float32(0.0039858), np.float32(34.864788), np.float32(-71.35907), np.float32(0.5179017), np.float32(2784.6804)]
2025-08-01 16:30:39,078 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8461, 9725): [np.float32(31.660036), np.float32(30.817549), np.float32(0.84248567), np.float32(10.369062), np.float32(-78.62695), np.float32(0.28374276), np.float32(2680.47), np.float32(32.44521), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(-30.982504), np.float32(inf), np.float32(1777.9338), np.float32(33.415325), np.float32(30.51661), np.float32(2.8987167), np.float32(9.505183), np.float32(128.2147), np.float32(0.35275188), np.float32(3333.7039)]
2025-08-01 16:30:39,201 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8346, 9733): [np.float32(29.333559), np.float32(30.723642), np.float32(-1.3900827), np.float32(12.2636795), np.float32(13.554522), np.float32(0.24287702), np.float32(2079.8643), np.float32(32.63726), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(47.02666), np.float32(inf), np.float32(1835.57), np.float32(27.20214), np.float32(31.37922), np.float32(-4.177078), np.float32(35.589535), np.float32(-110.060875), np.float32(0.26452196), np.float32(1954.1421)]
2025-08-01 16:30:39,452 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8439, 9721): [np.float32(25.124302), np.float32(30.346663), np.float32(-5.2223616), np.float32(74.28706), np.float32(58.8238), np.float32(0.12918328), np.float32(1419.4121), np.float32(34.616276), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(50.575516), np.float32(inf), np.float32(2915.1926), np.float32(32.217125), np.float32(30.713312), np.float32(1.5038129), np.float32(13.215228), np.float32(77.84732), np.float32(0.38383293), np.float32(2872.797)]
2025-08-01 16:30:39,815 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8313, 9685): [np.float32(29.357718), np.float32(29.899342), np.float32(-0.54162276), np.float32(28.903624), np.float32(93.824104), np.float32(0.4612262), np.float32(1852.598), np.float32(32.247467), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(83.612175), np.float32(inf), np.float32(1704.8462), np.float32(25.712273), np.float32(32.024605), np.float32(-6.312333), np.float32(21.913296), np.float32(-24.291254), np.float32(0.12764119), np.float32(2007.4741)]
2025-08-01 16:30:39,939 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8438, 9731): [np.float32(27.981207), np.float32(30.303694), np.float32(-2.3224862), np.float32(21.513775), np.float32(149.8657), np.float32(0.30689332), np.float32(1723.5605), np.float32(32.79147), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(-35.141132), np.float32(inf), np.float32(1928.0372), np.float32(33.723892), np.float32(32.77453), np.float32(0.94936234), np.float32(4.4462743), np.float32(-88.956085), np.float32(0.1269203), np.float32(4276.2944)]
2025-08-01 16:30:40,449 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8461, 9701): [np.float32(28.872543), np.float32(29.067516), np.float32(-0.19497424), np.float32(28.469501), np.float32(47.166595), np.float32(0.4805479), np.float32(1615.9967), np.float32(32.54416), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(-78.93005), np.float32(inf), np.float32(1800.3641), np.float32(32.009865), np.float32(31.475817), np.float32(0.53405005), np.float32(12.343886), np.float32(-39.647476), np.float32(0.31674343), np.float32(3064.9143)]
